id;title;author;authoryearofbirth;authoryearofdeath;language;downloads;subjects;type;alpha_pdf;total_words;unique_words
PG82;Ivanhoe: A Romance;Scott, Walter;1771;1832;['en'];1567;{'Normans -- Great Britain -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Love stories', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Knights and knighthood -- Fiction', 'Jews -- England -- Fiction', 'Anglo-Saxons -- Fiction', 'Historical fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG82_counts.txt' in the archive"""
PG83;"From the Earth to the Moon; and, Round the Moon";Verne, Jules;1828;1905;['en'];483;{'Space ships -- Fiction', 'Science fiction', 'Space flight to the moon -- Fiction', 'Manned space flight -- Fiction', 'Moon -- Fiction'};Text;1.1718596534910803;90067;7887
PG84;"Frankenstein; Or, The Modern Prometheus";Shelley, Mary Wollstonecraft;1797;1851;['en'];9294;"{'Scientists -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Science fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', 'Horror tales', 'Monsters -- Fiction', 'Gothic fiction (Literary genre)'}";Text;"""There is no item named 'SPGC-counts-2018-07-18/PG84_counts.txt' in the archive"""
PG85;The Beasts of Tarzan;Burroughs, Edgar Rice;1875;1950;['en'];326;{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories', 'Jungle animals -- Fiction'};Text;1.1646177627673153;63114;5805
PG86;A Connecticut Yankee in King Arthur's Court;Twain, Mark;1835;1910;['en'];1660;{'Satire', 'Britons -- Fiction', 'Arthurian romances -- Adaptations', 'Knights and knighthood -- Fiction', 'Kings and rulers -- Fiction', 'Fantasy fiction', 'Time travel -- Fiction', 'Americans -- Great Britain -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG86_counts.txt' in the archive"""
PG87;The 1993 CIA World Factbook;United States. Central Intelligence Agency;;;['en'];34;{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'};Text;1.2940759186456068;296197;19173
PG88;"Price/Cost Indexes from 1875 to 1989; Estimated to 2010";Hart, Michael;1947;2011;['en'];13;{'Cost and standard of living'};Text;0.9898612715905841;4233;358
PG89;North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions;Canada;;;['en'];18;{'Foreign trade regulation -- North America', 'Free trade -- Canada', 'Free trade -- United States', 'Free trade -- Mexico', 'Tariff -- Law and legislation -- North America', 'Canada. Treaties, etc. 1992 Oct. 7', 'Free trade -- North America'};Text;1.1156439014138897;61586;4610
PG90;The Son of Tarzan;Burroughs, Edgar Rice;1875;1950;['en'];297;{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'};Text;1.2067678471011032;94634;7348
PG91;Tom Sawyer Abroad;Twain, Mark;1835;1910;['en'];167;{'Americans -- Foreign countries -- Fiction', 'Balloon ascensions -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Adventure stories'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG91_counts.txt' in the archive"""
PG92;Tarzan and the Jewels of Opar;Burroughs, Edgar Rice;1875;1950;['en'];220;{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'};Text;1.1525150860811608;65770;6264
