"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1859;8.50131292203222;9.98948477211462;-0.992047370183072;-0.41226872459302;-0.391279730698431;17.2283295607525
"Double Breakpoint R";"eng-gb";1860;8.53972543913035;10.0280581524118;-0.996463781473122;-0.412277388455843;-0.379132364041131;17.2823576402213
"Double Breakpoint R";"eng-gb";1861;8.51554779494177;9.98571306038586;-1.00121171759212;-0.399120408924909;-0.397510241834114;17.2029981789628
"Double Breakpoint R";"eng-gb";1862;8.57956336023282;10.0332237653353;-1.00981678430712;-0.421052264287743;-0.362554263989884;17.3149052186155
"Double Breakpoint R";"eng-gb";1863;8.48217946952474;9.94218516133221;-1.00537656491054;-0.391945653943228;-0.393450899465605;17.1982765901945
"Double Breakpoint R";"eng-gb";1864;8.68403165564501;10.1287618423512;-1.01011739758146;-0.414322304084797;-0.368369630984237;17.2659581752085
"Double Breakpoint R";"eng-gb";1865;8.63254105296088;10.0648520336773;-1.00724416799013;-0.403626556744809;-0.340513594016257;17.3842191629542
"Double Breakpoint R";"eng-gb";1866;8.6704495646877;10.1549979427675;-1.0136112208316;-0.417402045832851;-0.347007137131001;17.3927833618214
"Double Breakpoint R";"eng-gb";1867;8.62093410740656;10.0601193513641;-1.00484972376856;-0.41349398538791;-0.329498252542825;17.369343323929
"Double Breakpoint R";"eng-gb";1868;8.63770063104254;10.0708363988084;-1.01350950591041;-0.396885607662817;-0.33388445461909;17.4279534872527
"Double Breakpoint R";"eng-gb";1869;8.74294158184053;10.1836554487891;-1.02078963098421;-0.421562723136331;-0.298712791062817;17.530234656179
"Double Breakpoint R";"eng-gb";1870;8.63632944725698;10.0385433619208;-1.01547224667382;-0.404344165937595;-0.337126924187642;17.49650524219
"Double Breakpoint R";"eng-gb";1871;8.65248374476976;10.1664064595515;-1.012897262902;-0.40909483240795;-0.34681617877838;17.4550976111328
"Double Breakpoint R";"eng-gb";1872;8.61739387112719;10.1255012926804;-1.0069467247938;-0.413357306113276;-0.338460397390773;17.4158676270941
"Double Breakpoint R";"eng-gb";1873;8.68046842574941;10.1586612961512;-1.01864999961121;-0.409046469551494;-0.313911534312202;17.5139489253927
"Double Breakpoint R";"eng-gb";1874;8.6864889810268;10.2022070851427;-1.01720733704626;-0.409089489492747;-0.327945685252189;17.6143559215623
"Double Breakpoint R";"eng-gb";1875;8.70756040017403;10.1432915214087;-1.02151986304833;-0.411987856449756;-0.341398021146184;17.7022888484199
"Double Breakpoint R";"eng-gb";1876;8.63717786191846;10.1192235748903;-1.01084749495937;-0.402159275923057;-0.335428107968153;17.6018178012356
"Double Breakpoint R";"eng-gb";1877;8.67995031448302;10.0986158122732;-1.00424779061418;-0.428928658007949;-0.33099601255241;17.5876891137318
"Double Breakpoint R";"eng-gb";1878;8.706380652966;10.1622697436924;-1.0111913355807;-0.412942498976062;-0.339759837970314;17.606333936121
"Double Breakpoint R";"eng-gb";1879;8.7569564554937;10.2214173199274;-1.02019810755477;-0.428877449665642;-0.306861295336031;17.6440699915459
"Double Breakpoint R";"eng-gb";1880;8.7387784370592;10.2910758351676;-1.01477819984317;-0.434283666310744;-0.325402675545872;17.6643025140082
"Double Breakpoint R";"eng-gb";1881;8.68843454372594;10.2158496567744;-1.00963298139751;-0.431205513045;-0.322476691342867;17.6011794536336
"Double Breakpoint R";"eng-gb";1882;8.67999354440625;10.1459185513969;-1.01341670532158;-0.40962080838576;-0.346436899085957;17.7402051740118
